date,values,Termo Buscado,Data e Hora,Palavra Pivo,Num da Comp,Periodo
2018-07-30,16,VENTILADOR,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-07-31,16,VENTILADOR,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-08-01,16,VENTILADOR,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-08-02,17,VENTILADOR,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-08-03,15,VENTILADOR,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-08-04,16,VENTILADOR,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-08-05,16,VENTILADOR,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-08-06,15,VENTILADOR,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-08-07,16,VENTILADOR,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-08-08,17,VENTILADOR,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-08-09,19,VENTILADOR,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-08-10,14,VENTILADOR,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-08-11,16,VENTILADOR,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-08-12,12,VENTILADOR,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-08-13,17,VENTILADOR,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-08-14,17,VENTILADOR,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-08-15,16,VENTILADOR,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-08-16,13,VENTILADOR,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-08-17,15,VENTILADOR,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-07-19,52,BRASTEMP,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-07-20,46,BRASTEMP,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-07-21,54,BRASTEMP,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-07-22,52,BRASTEMP,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-07-23,62,BRASTEMP,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-07-24,58,BRASTEMP,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-07-25,49,BRASTEMP,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-07-26,45,BRASTEMP,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-07-27,54,BRASTEMP,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-07-28,54,BRASTEMP,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-07-29,55,BRASTEMP,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-07-30,62,BRASTEMP,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-07-31,52,BRASTEMP,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-08-01,54,BRASTEMP,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-08-02,48,BRASTEMP,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-08-03,50,BRASTEMP,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-08-04,56,BRASTEMP,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-08-05,55,BRASTEMP,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-08-06,57,BRASTEMP,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-08-07,52,BRASTEMP,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-08-08,55,BRASTEMP,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-08-09,50,BRASTEMP,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-08-10,51,BRASTEMP,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-08-11,56,BRASTEMP,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-08-12,47,BRASTEMP,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-08-13,58,BRASTEMP,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-08-14,54,BRASTEMP,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-08-15,51,BRASTEMP,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-08-16,48,BRASTEMP,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-08-17,48,BRASTEMP,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-07-19,35,CONSUL,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-07-20,33,CONSUL,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-07-21,33,CONSUL,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-07-22,30,CONSUL,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-07-23,38,CONSUL,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-07-24,30,CONSUL,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-07-25,32,CONSUL,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-07-26,30,CONSUL,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-07-27,29,CONSUL,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-07-28,37,CONSUL,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-07-29,30,CONSUL,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-07-30,39,CONSUL,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-07-31,35,CONSUL,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-08-01,33,CONSUL,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-08-02,32,CONSUL,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-08-03,35,CONSUL,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-08-04,32,CONSUL,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-08-05,31,CONSUL,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-08-06,37,CONSUL,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-08-07,33,CONSUL,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-08-08,35,CONSUL,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-08-09,33,CONSUL,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-08-10,32,CONSUL,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-08-11,37,CONSUL,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-08-12,28,CONSUL,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-08-13,32,CONSUL,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-08-14,37,CONSUL,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-08-15,34,CONSUL,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-08-16,32,CONSUL,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-08-17,31,CONSUL,19/08/2018 14:20,GELADEIRA,1º Comparação,today 1-m
2018-07-19,86,GELADEIRA,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-07-20,82,GELADEIRA,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-07-21,96,GELADEIRA,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-07-22,98,GELADEIRA,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-07-23,92,GELADEIRA,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-07-24,97,GELADEIRA,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-07-25,91,GELADEIRA,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-07-26,83,GELADEIRA,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-07-27,79,GELADEIRA,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-07-28,100,GELADEIRA,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-07-29,99,GELADEIRA,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-07-30,92,GELADEIRA,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-07-31,86,GELADEIRA,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-08-01,81,GELADEIRA,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-08-02,89,GELADEIRA,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-08-03,85,GELADEIRA,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-08-04,100,GELADEIRA,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-08-05,93,GELADEIRA,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-08-06,89,GELADEIRA,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-08-07,86,GELADEIRA,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-08-08,86,GELADEIRA,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-08-09,82,GELADEIRA,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-08-10,86,GELADEIRA,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-08-11,98,GELADEIRA,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-08-12,88,GELADEIRA,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-08-13,95,GELADEIRA,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-08-14,93,GELADEIRA,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-08-15,88,GELADEIRA,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-08-16,75,GELADEIRA,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-08-17,79,GELADEIRA,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-07-19,62,COMPUTADOR,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-07-20,62,COMPUTADOR,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-07-21,53,COMPUTADOR,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-07-22,53,COMPUTADOR,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-07-23,63,COMPUTADOR,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-07-24,65,COMPUTADOR,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-07-25,58,COMPUTADOR,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-07-26,58,COMPUTADOR,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-07-27,57,COMPUTADOR,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-07-28,56,COMPUTADOR,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-07-29,55,COMPUTADOR,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-07-30,62,COMPUTADOR,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-07-31,64,COMPUTADOR,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-08-01,62,COMPUTADOR,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-08-02,58,COMPUTADOR,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-08-03,63,COMPUTADOR,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-08-04,59,COMPUTADOR,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-08-05,53,COMPUTADOR,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-08-06,63,COMPUTADOR,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-08-07,63,COMPUTADOR,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-08-08,59,COMPUTADOR,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-08-09,64,COMPUTADOR,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-08-10,58,COMPUTADOR,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-08-11,55,COMPUTADOR,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-08-12,53,COMPUTADOR,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-08-13,65,COMPUTADOR,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-08-14,66,COMPUTADOR,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-08-15,65,COMPUTADOR,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-08-16,61,COMPUTADOR,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-08-17,60,COMPUTADOR,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-07-19,46,DELL,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-07-20,44,DELL,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-07-21,39,DELL,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-07-22,37,DELL,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-07-23,47,DELL,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-07-24,52,DELL,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-07-25,49,DELL,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-07-26,46,DELL,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-07-27,46,DELL,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-07-28,39,DELL,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-07-29,34,DELL,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-07-30,48,DELL,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-07-31,48,DELL,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-08-01,48,DELL,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-08-02,48,DELL,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-08-03,48,DELL,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-08-04,39,DELL,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-08-05,38,DELL,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-08-06,50,DELL,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-08-07,51,DELL,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-08-08,49,DELL,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-08-09,48,DELL,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-08-10,52,DELL,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-08-11,47,DELL,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-08-12,37,DELL,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-08-13,52,DELL,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-08-14,57,DELL,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-08-15,50,DELL,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-08-16,47,DELL,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-08-17,47,DELL,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-07-19,52,SONY,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-07-20,55,SONY,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-07-21,57,SONY,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-07-22,57,SONY,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-07-23,57,SONY,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-07-24,56,SONY,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-07-25,55,SONY,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-07-26,49,SONY,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-07-27,55,SONY,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-07-28,65,SONY,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-07-29,55,SONY,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-07-30,54,SONY,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-07-31,54,SONY,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-08-01,52,SONY,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-08-02,47,SONY,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-08-03,51,SONY,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-08-04,61,SONY,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-08-05,57,SONY,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-08-06,51,SONY,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-08-07,56,SONY,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-08-08,54,SONY,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-08-09,55,SONY,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-08-10,54,SONY,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-08-11,65,SONY,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-08-12,63,SONY,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-08-13,55,SONY,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-08-14,54,SONY,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-08-15,56,SONY,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-08-16,52,SONY,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-08-17,46,SONY,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-07-19,55,AMAZON,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-07-20,58,AMAZON,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-07-21,57,AMAZON,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-07-22,60,AMAZON,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-07-23,64,AMAZON,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-07-24,57,AMAZON,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-07-25,59,AMAZON,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-07-26,56,AMAZON,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-07-27,60,AMAZON,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-07-28,57,AMAZON,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-07-29,61,AMAZON,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-07-30,64,AMAZON,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-07-31,60,AMAZON,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-08-01,60,AMAZON,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-08-02,61,AMAZON,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-08-03,62,AMAZON,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-08-04,61,AMAZON,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-08-05,57,AMAZON,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-08-06,62,AMAZON,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-08-07,62,AMAZON,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-08-08,62,AMAZON,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
